tag_id,vehicle_id,tag_provider
KO69R5975,RV87TIY76692,kentriki_odos
AO13W1028,RR73DWB65452,aodos
GF84U4130,KW50MJG67260,gefyra
KO64Z6868,QW79CHL42244,kentriki_odos
KO87M8492,DO24BCW15511,kentriki_odos
NE55G3669,PD45WOT56494,nea_odos
AO19M3646,BM25PHF40639,aodos
OO26V4144,XV40HUQ04740,olympia_odos
NE80E5551,VX68BAR38623,nea_odos
GF51E2190,EN26OAB52983,gefyra
KO53F1683,MQ65WJJ60020,kentriki_odos
AO19H6549,OC94ASJ72024,aodos
KO38E3788,ED51EWW52190,kentriki_odos
EG76E0993,VL67TFO75321,egnatia
AO69I5108,HT62RDI04611,aodos
MR39O1247,IZ65WAT29135,moreas
OO68H9901,WG11QVY31890,olympia_odos
MR58R4385,QN23UHH39091,moreas
NE66B0405,NY14GZR94632,nea_odos
AO31K4646,SU00RDZ36214,aodos
GF61W4412,LM86GYO69819,gefyra
OO01A7197,AY38OQF67603,olympia_odos
MR36J6829,QH15HWX24570,moreas
NE74M6592,NO82BAX82566,nea_odos
GF64H7689,BY85QGR11636,gefyra
GF94Q2036,MA30QLI76818,gefyra
GF52T0389,XF28DGK65250,gefyra
MR56E8319,KF48RSD79865,moreas
EG79G1284,TZ48CCW54765,egnatia
AO49I8807,YL27IFD65117,aodos
EG23G6966,EC02LZC49528,egnatia
NE31Q7933,EV77EDV52985,nea_odos
EG05B7264,IW53OQE31439,egnatia
GF26N8608,QN12NTR81378,gefyra
OO41Q9202,RK48BOP88344,olympia_odos
OO29X6651,EE22TMX10817,olympia_odos
AO88V0724,SY96JDQ97089,aodos
MR30M7731,HA82SCK64299,moreas
AO94O1451,BZ76ROL87339,aodos
MR55V8401,EZ65FLV39493,moreas
GF62J1185,MP14WFM40909,gefyra
GF96B8067,CP56DAO45598,gefyra
AO27P4628,LG64ARC91224,aodos
NE71H2256,NZ35XLQ89678,nea_odos
OO14E0167,AT19HLV57173,olympia_odos
NE74M0871,QP02SYE47964,nea_odos
MR93N1400,HR53SRO94328,moreas
GF84T8932,PF04UCA93312,gefyra
EG36L0177,TE24LCO18661,egnatia
MR26E3126,QO68DIC93032,moreas
MR06V9056,RR98KQE80731,moreas
GF26E1328,UF84JOS00561,gefyra
MR63V2295,XV91YMP27722,moreas
MR72G8045,HE38BQH01623,moreas
KO80I5938,QO77TFN61853,kentriki_odos
KO95P1306,JO50FSF60755,kentriki_odos
OO59B1482,VJ92OYV94295,olympia_odos
EG74B6896,DW44ZOO26361,egnatia
EG56V3913,CR31GMR97972,egnatia
EG47I2811,XE59BZM26378,egnatia
NE66N5124,PM58XHX45588,nea_odos
KO37T8485,FL13UMN92207,kentriki_odos
MR57I0349,UA13YTK28483,moreas
NE91T5473,EG95RTB75032,nea_odos
GF17K5976,SL09NOT64494,gefyra
GF87C4626,IO09FGE68100,gefyra
NE97X0282,OY94SZK34436,nea_odos
OO67L7721,BK77KNV91142,olympia_odos
KO91P5387,ZY93PCY41868,kentriki_odos
AO12K0807,MX39VOS38645,aodos
NE61X5911,JV67MTI17124,nea_odos
EG87C3789,MU06LHX94338,egnatia
NE43B7275,FY47TUN40300,nea_odos
NE09V3603,UP28MBM38391,nea_odos
KO58G5356,YH66OKD41942,kentriki_odos
OO20E8329,QX75YWC61835,olympia_odos
KO57Z7727,IX01MVL33676,kentriki_odos
GF52G9102,WU78BMX13511,gefyra
KO44J2006,WY00MLL63827,kentriki_odos
EG47U1656,IN99SEN20660,egnatia
OO58I4183,EM54HQI58682,olympia_odos
GF85Z5553,CK97FAU13897,gefyra
EG13U6715,JD78PQD35395,egnatia
KO75W9528,UO75YNW62238,kentriki_odos
OO65G9691,IC95TLY24827,olympia_odos
NE83K9493,IA29IQS63679,nea_odos
OO43C8099,QR03XCJ37459,olympia_odos
EG52J0268,QU94IGC75528,egnatia
OO49W8536,JF94VYA88954,olympia_odos
GF48M7092,JE65QJK64802,gefyra
GF85R2347,YX66XYW62640,gefyra
MR98F8272,BI87HYL81972,moreas
KO82C5500,HW75BKT77773,kentriki_odos
KO72G8546,KB55KTM48860,kentriki_odos
OO85U6024,LC72NRN52084,olympia_odos
AO87S8322,DV04FQL29609,aodos
EG87N4472,CM15YCB60994,egnatia
AO11L5271,DP11ENT03275,aodos
EG00X1873,TV81MAQ99005,egnatia
AO18S3731,PE73VJU23485,aodos
